Question,Answer
"How to find details of Corrupted Object from the entries in db2diag.log? We have corruption in DB2 Database and got entries for corrupted Object in db2diag.log ,Need to find details of the Object using information dumped in db2diag.log ","When we have corruption in the database we may received following kind of entries in db2diag.log 
These also notify object where we t where we have detected corruption in the Database."
"WAS 8.5.x - Writing a JMS message to a remote queue takes a long time. How to write the message faster? 

We are writing a jms message from a websphere cell (cellA) to a queue hosted by another websphere cell (cellB). Sometimes we noticed that writing a message is very slow. Usually when a local queue will be used the time to write this messages is about 8 ms, but if the queue is located on a other cell is took significant longer (about 3000ms+ ).

Our findings: After enabling following trace ""=info: com.ibm.ws.sib.trm.=finest"" the problem is related to:
- com.ibm.ws.cluster.selection.NoAvailableTargetExceptionImpl
- WaitForWLMDat 3 (com.ibm.ws.sib.trm.wlm.client.WaitForWLMData) [:] Sleeping for 2999 ms ""

Because of the sleep time the writing to the queue is slowed down. How to prevent the sleeping time of 3 seconds, when writing a message to a remote queue?","If your environment is heavily loaded, the HA manager might not be able to locate the running messaging engine within three seconds. In this case, check if there are any hung threads in the SystemOut.log, and resolve them if possible. Next, consider increasing the value of sib.trm.linger from three to give the HA manager more time to locate a messaging engine.

Tune the sib.trm.linger property value in the sib.properties file to set the messaging engine lookup delay so that the Work Load Manager (WLM) waits for a longer period of time before returning an error. Please refer to information below on how to set this property in the sib.properties. 

1)<WAS_HOME>/properties : The properties declared under this location would be applicable to all the profiles in that installation.

2)<PROFILE_ROOT>/properties : The properties declared here are applicable for all the servers on this profile

If a property is defined at both <PROFILE_ROOT>/properties and <WAS_HOME>/properties, then the property defined at <PROFILE_ROOT>/properties would take precedence.

After resetting the property you must restart the server."
How do I configure logging for Atlas Extensions in Atlas 6.0.3.3? How do I configure logging for Atlas Extensions in Atlas 6.0.3.3? ,"In Atlas 6.0.3.3, the Atlas Extensions logging configuration has moved to log4j.properties file. 

 1. Navigate to <Atlas_Install_folder>/Atlas/Properties folder 
 2. Edit log4.properties file 
 3. Update the path Information for the following three properties  1. log4j.appender.MATTER_APPENDER.File=matter_adapter.log 
     2. log4j.appender.PERSON_APPENDER.File=person_adapter.log 
     3. log4j.appender.ORG_UNIT_APPENDER.File=org_unit_adapter.log
    
    
 4. Save the file 
 5. Restart Atlas application server"
"Help with Security Bulletin: IIB & WMB upon installation, set incorrect permissions for an object ( CVE-2016-0394 ) I need to understand details regarding Security Bulletin: IBM Integration Bus and WebSphere Message Broker, upon installation, set incorrect permissions for an object ( CVE-2016-0394 ) Where can I find this information? ","CVEID: CVE-2016-0394 [http://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2016-0394]
DESCRIPTION: IBM Integration Bus and WebSphere Message broker set incorrect permissions for an object, which could allow a local attacker to manipulate certain files. 
CVSS Base Score: 4
CVSS Temporal Score: See https://exchange.xforce.ibmcloud.com/vulnerabilities/112643 [https://exchange.xforce.ibmcloud.com/vulnerabilities/112643] for the current score
CVSS Environmental Score*: Undefined
CVSS Vector: (CVSS:3.0/AV:L/AC:L/PR:N/UI:N/S:U/C:N/I:L/A:N)"
"Why does my upgrade to Portal 8001 CF14 fail with the following errors, ADMA5008E, ADMA0063E, ADMA5069E, WASX7017E? Why does my upgrade to Portal 8001 CF14 fail with the following errors, ADMA5008E, ADMA0063E, ADMA5069E, WASX7017E?","This exception can happen during ejbdeploy after the WebSphere Application Server has been upgraded, and old OSGI cache remains for the ejbdeploy tool. The OSGI class of the ejbdeploy tool contains class information within the deploytool folder and can become stale if the content inside deploytool has changed."
"Should I upgrade to Oracle JDK 8 if I am using IBM Mobile Foundation, IBM Worklight, IBM Worklight Foundation, or IBM MobileFirst Platform Foundation products? These is an upgrade available to replace Oracle JDK 7 with Oracle JDK 8. Does IBM Mobile Foundation, IBM Worklight, IBM Worklight Foundation, and the IBM MobileFirst Platform Foundation products support the use of Oracle JDK 8? ","The IBM Mobile Foundation, IBM Worklight, IBM Worklight Foundation, and IBM MobileFirst Platform Foundation products support Oracle JDK 7, but do not support Oracle JDK 8."
"Installation of Portal 7.0 CF fails with version mismatch 

Installation of Portal 7.0 CF fails with message,

""Profile version is not the same as portal binary version before updating portal binary.""","To update a profile after an upgrade, the following command can be used to update profiles that are not included in AutoUpdateMultipleProfiles. All profiles that were not included in AutoUpdateMultipleProfiles need to be updated after the upgrade is done. All profiles must be at the same level for future upgrades to be applied. See the following link for multiple profiles Supporting multiple profiles: wp7 [http://www-10.lotus.com/ldd/portalwiki.nsf/dx/Supporting_multiple_profiles_wp7].
   
   <wp_profile_root>/PortalServer/bin/UpdateProfile.bat|.sh install CF"
"I am receiving AC power supply failures on my DataPower 9235 appliance. How can I resolve this? 

I am observing the following errors on my DataPower 9235 device:

[failure] Power supply '1' has no AC input power, or is not present. [failure] Power supply '2' has no AC input power, or is not present.

How can this be resolved? ","In most cases, a reboot of the appliance will reset the sensors and no additional errors are logged."
"ncp_poller failed with Out-of-memory in ITNM 3.9 FP4+IF1. What went wrong?. 

ncp_poller is failed with out-fo-memory even if we have ITNM 3.9 FP4+IF1 latest FP

2016-04-11T03:02:09: Fatal: F-RIV-002-014: [31869t] CRivError.cc(386) Out-of-memory - This process has run out of memory or exceeded the operating system memory limit for a 32 bit application - You must take action to reduce the amount of data this application is having to process new handler called

How to resolve this issue?.
","There are 100 threads assigned for default Pollers in all three releases (v3.7, v3.8 & v3.9). 
The additional poller is a new feature in v3.8 and higher versions, so additional Poller threads is not applicable for v3.7. But when you create additional pollers in v3.8/v3.9 same # of thread (i.e. 100) pool is assigned.

In v3.8, v3.9 - you can also increase the default 100 to a higher value by modifying and uncommenting the following line in $NCHOME/etc/precision/NcPollerSchema.cfg
//update config.properties set BatchExtraThreads = 150;"
"Why Theme Updates are not updated in the browser cache ? 

If you change graphics in page header. Then packed the war file and update it via the Integrated Solutions Console. But the old graphic is still displayed until the user press Ctrl + F5 in Internet Explorer.","Changing the digest setting generates different URLs, so the updated theme resources can be loaded from the server."
"Updating SCA applications & internal SCA module queues When updating an existing SCA module using the ISC, I noticed that internal SCA queues (sca/<module>/...) on the SCA.SYSTEM bus) are deleted and recreated.  One can potentially loose messages on these queues. Is there a fix to the problem?","To resolve this issue, use the SCA.recycleDestinations custom Java™ virtual machine (JVM) property for the module. Set the property to false to preserve SCA destinations."
"Portal v8.5 install fails with INSTCONFFAILED - No Portral logs are written If you are trying to install Portal v8.5 on WAS 8.5.5.5 or less it may fail when running the manageprofiles.sh. You will get this exception; SEVERE
com.ibm.ws.profile.cli.WSProfileCLIAugmentProfileInvoker
executeWSProfileAccordingToMode
1
INSTCONFFAILED: Profile augmentation failed. For more
information, consult
/opt/IBM/WebSphere/AppServer8/logs/manageprofiles/portal01_create.log.","The parsing code is updated so the problem no longer occurs.
   
   The fix for this APAR is currently targeted for inclusion in
   fix pack 8.5.5.6."
"completeness report causes StackOverflowError in Decision Center 

When running the completeness report in Decision Center we sometimes get a StackOverflowError such as:

     ...
     Caused by: java.lang.StackOverflowError
         at ilog.rules.validation.solver.IlcIntScalProd.extract(IlcIntScalProd.java:89)
         at ilog.rules.validation.solver.IlcIntExpr.getPIntExp(IlcIntExpr.java:156)
     ...

","Adjusting the Stack Sizes (Xss and Xmso) options 
If this does not work, you can adjust the stack sizes. Doubling the stack size is suggested as a first step; however, every thread that the JVM creates will consume memory. Be careful to not exhaust your physical and heap memory resources. 

For every Java thread, there are two stacks that are utilized. One is for Java code for method calls, and the other is for native C code (on Solaris and HP-UX, only the native stack is utilized). These are adjustable and can be raised to provide more room on the stacks to prevent an overflow."
"Security Bulletin: Incorrect saved channel status enquiry could cause denial of service for IBM MQ (CVE-2017-1236) I need to understand details regarding Security Bulletin: Incorrect saved channel status enquiry could cause denial of service for IBM MQ (CVE-2017-1236). Where can I find this information?
","CVEID:CVE-2017-1236 [http://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2017-1236]
DESCRIPTION:IBM MQ could allow an authenticated user to potentially cause a denial of service by saving an incorrect channel status inquiry.
CVSS Base Score: 3.1
CVSS Temporal Score: Seehttps://exchange.xforce.ibmcloud.com/vulnerabilities/124354 [https://exchange.xforce.ibmcloud.com/vulnerabilities/124354]for the current score
CVSS Environmental Score*: Undefined
CVSS Vector: (CVSS:3.0/AV:N/AC:H/PR:L/UI:N/S:U/C:N/I:N/A:L)"
"How precise is DataPower's backside persistent timeout value related to intermittent ""Failed to Process Response Headers"" error messages? 

I have a service on DataPower with a backside persistent timeout value set to 28 seconds. The actual backend device has a persistent timeout setting of 30 seconds.

Since my service is configured with a lower persistent timeout value than 30 seconds, why am I still seeing the following error intermittently?

Wed June 25 2009 09:20:02 [0x80000001][xsltmsg][error] mpgw (MyGateway): tid(8675309)[error][9.x.x.x]: Failed to process response headers","In almost every event, this error is caused by a connection failure.
The error is correct, the service did not receive any response headers or data. The key to help confirm this is to increase the log level to debug. This will allow you to see the network debug errors around the context of the service error."
ICC Configuration Store Service is hung? ICC Configuration Store Service is hung and is not responding to start or stop commands. This was observed due to a potential issue with server running out of disk space.  What is causing this? ,Transaction log gets corrupted when IBM Content Collector server runs out of disk space.
How do I identify Indexing errors in Atlas database? How do I identify Indexing errors in Atlas database? ,"Login to Atlas database as PSSAPL user 
 2. Run select * from ctx_user_index_errors; 
 3. Copy the value in the ERR_TEXTKEY Field 
 4. Run select * from documentlibrary where rowid='<value from Step 3> '; 
 5. This will list the document which has the indexing error"
"Upgrading to 7.7.x while using APIC v5 with DataPower? We currently have API Connect v5 with DataPower 7.2.x. Considering 7.2 is going out of support, we would like to upgrade to the most recent version(7.7) to stay up-to-date. Are there any known issues or conflicts with this setup? ","Effective with DataPower Gateway firmware V7.6 [https://www.ibm.com/common/ssi/cgi-bin/ssialias?infotype=AN&subtype=CA&htmlfid=897/ENUS217-265&appname=USN], DataPower introduces a Continuous Delivery (CD) model to accelerate delivery of new capabilities and meet market needs. DataPower CD will consist of two releases:

 1. CD release approximately once per quarter  * Only the most recent CD release is supported at a given time.
    
    
 2. Long Term Support (LTS) release every 12 months."
"Is it possible to move all the P8 logs out of the default location? We are looking to move all the P8 logs out of the default FileNet folder in Websphere. The trace log can be moved easily; however, the error log and PE logs also need to be moved. ",Add the system property 'user.dir' in the JVM argument to the application server.
How can I format a trace for CMOD v9.0 on Windows? How can I format a CMOD trace on Windows?,"Open command prompt - navigate to the CMOD\9.0\bin directory and issue ARSTFMT as follows:

arstfmt -i C:\Users\IBM_ADMIN\path\to\file -o C:\Users\IBM_ADMIN\path\to\file\name.txt




where the C:\Users\IBM_ADMIN\path\to\file is the unreadable trace file and C:\Users\IBM_ADMIN\path\to\file\name.txt is the name of the formatted trace file."
"Why Plug-in log file reports an error message after install & configure the WebSphere Plugin 8.5 version on a Apache 2.4 webserver. 

During web server start-up, errors like the following will be logged into the Plug-in log file (http_plugin.log):

ERROR: lib_security: loadSecurityLibrary: Failed to load gsk library from /opt/IBM/WebSphere/Plugins/gsk8/gsk8_64 ERROR: ws_transport: transportInitializeSecurity: Unable to load security library ERROR: ws_server: serverAddTransport: Failed to initialize security ERROR: ws_server: serverAddTransport: HTTPS Transport is skipped

Note: This is an Apache 2.4 version on a Linux platform","To resolve the problem, you must set the LD_LIBRARY_PATH environment variable to point to the library directory of the GSKit that comes with the IBM web server Plug-in. The precise directory location will depend of the version of Plug-in, and on the bit depth being used (32-bit or 64-bit)."
WAS runtime classpath does not match WAS Server Runtime library in RAD  I've run into a classpath problem in WAS 8.0 for my web application. The problem is that it compiles fine i RAD but I get a NoClassDefFoundError in Runtime.  ,"Some of the Java methods found in the JARs in the server's plugin directory are available to be called, but some of them are considered internal use only and an exception is thrown if you try to call them from user code."
"Unexpected instance name for SQL Server agent after FP10 

Hello,

on a new server I have installed SQL Server agent 6.31 FP10 and then tried to create an instance. On the server we run a single instance of SQL Server (default instance) so I would expect it to be discovered with the server hostname as it was in the past. But the ""Configure Database Agents” pane discovers and shows one instance with name “MSSQLSERVER” instead of the machine hostname.

There are no errors in the OQ_LocalConfig.log file. Why does it happen ?","Abstract: Default instance of SQL Server is identified as 'MSSQLSERVER' 
instead of hostname.
Additional Information: The default instance of SQL server used to get 
configured with hostname and not MSSQLSERVER. 
In an environment, where there was default instance and 
a named instance having same name as hostname had issues 
in configuration."
"What could cause a ""Connection refused"" to SQLDB/DB2 after some time? I have deployed an WAS Liberty/ JPA application. Everything is fine, and after a while (a day or 2), I get the connection refused exception: java.sql.SQLNonTransientException: [jcc][t4][2043][11550][4.14.103] Exception java.net.ConnectException: Error opening socket to server /XX.XXX.XXX.XXXon port 50,000 with message: Connection refused. ERRORCODE=-4499, SQLSTATE=08001 DSRA0010E: SQL State = 08001, Error Code = -4,499 
Any idea what could cause this issue?",Using DCS DB alias or local alias name of the database in the connection string will cause this error.
Help with Security Bulletin: Vulnerability in MD5 Signature and Hash Algorithm affects WMB & IIB (CVE-2015-7575) I need to understand details regarding Security Bulletin: Vulnerability in MD5 Signature and Hash Algorithm affects WebSphere Message Broker and IBM Integration Bus (CVE-2015-7575). Where can I find this information? ,"CVEID: CVE-2015-7575 [http://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2015-7575]
DESCRIPTION: The TLS protocol could allow weaker than expected security caused by a collision attack when using the MD5 hash function for signing a ServerKeyExchange message during a TLS handshake. An attacker could exploit this vulnerability using man-in-the-middle techniques to impersonate a TLS server and obtain credentials.
CVSS Base Score: 7.1
CVSS Temporal Score: See https://exchange.xforce.ibmcloud.com/vulnerabilities/109415 [https://exchange.xforce.ibmcloud.com/vulnerabilities/109415] for the current score
CVSS Environmental Score*: Undefined
CVSS Vector: (CVSS:3.0/AV:N/AC:L/PR:N/UI:R/S:U/C:H/I:L/A:N)"
A .NET API error is thrown when attempting to install ICC 4.0.1 A .NET API error is thrown when attempting to install ICC 4.0.1. The error claims that either an incorrect version of the IBM FileNet P8 Content Processing Engine (CPE) .NET API 5.2.1.2 is installed or that it is missing some components.  How do I fix this?,"Re-installing the CPE 5.2.1.2 .NET API will solve this issue:




1. Copy the software on a local disk.
2. Start the re-installation of the .NET API.
3. Select all sub-components of .NET framework 45 that were not listed before (select them all if unsure). 

During the next installation of ICC there are no further errors regarding missing components."
"How do I downgrade an IBM Gateway, DataPower, appliance to a lower major firmware release? I would like to know the proper, and supported, method to downgrade an appliance to prevent any issues or problems. ",The reinit CLI command will allow you to reconfigure an IBM WebSphere DataPower SOA appliance. The reinit CLI command will allow you to delete (not erase) all existing configuration and data from an IBM WebSphere DataPower SOA appliance.
"Help with Security Bulletin: The WebAdmin context for WMB V8 allows directory listings (CVE-2016-6080) 

I need to understand details regarding Security Bulletin: The WebAdmin context for WebSphere Message Broker Version 8 allows directory listings (CVE-2016-6080). Where can I find this information?
  0","CVEID: CVE-2016-6080 [http://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2016-6080]
DESCRIPTION: The WebAdmin context for WebSphere Message Broker allows directory listings, which could disclose sensitive information to the attacker.
CVSS Base Score: 5.3
CVSS Temporal Score: See https://exchange.xforce.ibmcloud.com/vulnerabilities/117560 [https://exchange.xforce.ibmcloud.com/vulnerabilities/117560] for the current score
CVSS Environmental Score*: Undefined
CVSS Vector: (CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:U/C:L/I:N/A:N)"
"How can I obtain a Java thread dump against an execution group in IIB v10? 

This Q&A is abstracted from a PMR

How can I obtain a Java thread dump against an execution group in IIB v10?
","Use this command to generate a Java dump on IIB v10.0.0.9+:
mqsichangeproperties <Int.Node> -e <Int.Server> -o ComIbmInternalSupportManager/Java/JVM -n dump -v <dump_type>"
"Error: ""MBEANSTARTER LOADEXTENSIONS FAILED TO LOAD EXTENSION"" occurs at portal startup 

We are using Portal Server 8.5 and when starting the Portal server we see following error:

0000005e MBeanStarter E com.ibm.wps.scripting.server.MBeanStarter loadExtensions failed to load extension: key: ServerExt.applications / value: com.ibm.wps.scripting.server.ApplicationServerExtensions

How can we resolve this error without installing a fix?","1) open the WAS admin console
   2) navigate to Resources > Resource environment providers > WP
   ScriptingService > Custom properties
   3) you should see an entry with the name
   ""ServerExt.applications"" and value
   ""com.ibm.wps.scripting.server.ApplicationServerExtensions""
   4) delete this entry, save and restart the server."
Does IBM DataPower Gateway Appliance support the HTTP CONNECT method? Does IBM DataPower Gateway Appliance support the HTTP CONNECT method for non-SSL proxy requests? ,"Non-SSL Proxy requests will work using either:

a) an XML Firewall when configuring in the HTTP Options tab, where the user can configure the Proxy Host and Port

b) a Multi-Protocol Gateway when configuring an HTTP Proxy Policy in the User Agent"
EIF probe not receiving itm events Why is the event in the netcool isn't cleaned ? ,"The solution is to set the connection_mode in your om_tec.config on the ITM Server (TEMS) to use 


connection_less 

instead of 

connection oriented."
IBM SPSS Statistics Subscription Installer not supported on Mac OS version OS X 10.9.5 Attempted several times to install IBM SPSS statistics subscription installer. Followed online instructions to double click the blue and white statisticsSub_Installer and click open. The result a message installer not supported OS version. Attempted to turn off fire wall and install without success. Suggestions? ,"IBM SPSS Statistics 22 was developed and released prior to Apple's release of OS X 10.9 (Mavericks). However, Statistics 22 can be installed on Mac OSX 10.9 if you install Apple Java SE 6 (1.6.0_65) on OS X 10.9 first before you install Statistics 22."
Is it possible to make where filter to case insensitive in My Inbox? Workplace OOTB feature - 'Tasks-->My Inbox--> Filter inbox based on field where' the filter is case sensitive. but our expected result is case insensitive. We have already checked 'Force case-insensitive search'. Our expectation it should return the same work items what ever we use 'TEST' or 'test'. ,"ICN does not provide a feature to turn on or off case sensitive searches. All metadata searches in ICN are case sensitive by default. However, depending on the repository, case insensitive searches can be performed by doing the following:
- For FileNet P8 repositories; set the Force Case Insensitive Search flag on the object store. 
- For Content Manager repositories; the administrator will firstly need to enable text search on metadata, then a text search will need to be done in ICN against the metadata by enclosing the metadata value in double quotes.

Alternatively, a request filter can be written to change the case of a query to all upper or all lower case."
"Why are my IBM FileNet Workplace XT war and ear files are unusually small? When creating the IBM FileNet Workplace XT archive files with either the Content Platform Engine Client Files installation or the IBM Case Manager's ""Deploy IBM FileNet Workplace XT"" configuration manager task , the resulting war and ear files are only a few kilobytes in size and contain the create_web_client_war.sh and create_web_client_ear.sh files. ",This failure can be caused by the CDPATH operating system environment variable being set. The CDPATH environment variable is used to define the base directory to be used for the CD command. A side effect of setting the CDPATH is that CD commands in scripts may jump to unintended directories.
"Why can't IBM FileNet Content Platform Engine successfully connect to IBM FileNet Content Search Services? 

Why can't IBM FileNet Content Platform Engine successfully connect to IBM FileNet Content Search Services? I see the following error in my p8_server_error.log.

IQQG0205E The client [version: 5.2.0.2] is not compatible with the server [version: 2.1.0.0-1.1-4140.FP4].",The version of the IBM FileNet Content Search Services client files that are included in the IBM FileNet Content Platform Engine must match the version IBM FileNet Content Search Services server. Please check the readme files for your installed IBM FileNet Content Platform Engine and IBM FileNet Content Search Services fix packs as they will include fix pack requirements.
"DSNT408I SQLCODE -401 creating stored procedure CIUSNTSR after upgrading to DB2 11 

Why would CIUSNTSR stored procedure creation fail with message DSNT408I and SQLCODE=-401? I am running CICS Interdependency Analyzer for z/OS (CICS IA) CIUDBCQ JCL when the failure occurs. This happened after I upgraded z/OS DB2 to V11.

Here are the messages I receive:

     DSNT408I SQLCODE = -401, ERROR:  THE OPERANDS OF AN ARITHMETIC OR COMPARISON OPERATION ARE
     NOT COMPARABLE
     DSNT418I SQLSTATE  = 42818 SQLSTATE RETURN CODE
     DSNT415I SQLERRP   = DSNXOBFC SQL PROCEDURE DETECTING ERROR
     DSNT416I SQLERRD   = 930 0  1  -1  0  0 SQL DIAGNOSTIC INFORMATION
     DSNT416I SQLERRD   = X'000003A2' X'00000000' X'00000001' X'FFFFFFFF' X'00000000' X'00000000'
     SQL DIAGNOSTIC INFORMATION
","DB2 has been modified correctly to process SQL variables in the
   IN-LIST predicate to avoid the problem."
"Problems making XA connection from WMQ to WAS using a CCDT 

We have applications hosted on WAS 7.0.0.27. We have two hubs in Websphere MQ end. Hub1 queue manager and Hub2 queue manager.

We have 3 QCF's configured at WAS end as mentioned below

    jms/QM using a CCDT file pointing to a queue manager group.

    jms/QM01 using a direct connection to hub1 queue manager

    jms/QM02 using a direct connection to hub2 queue manager

We have 2 separate sync mdb listeners that connect using QCFs jms/QM01 and jms/QM02. We are using QCF jms/QM to put messages in MQ.

While processing sync messages out listeners are going down.

Please advise.",The use of the Client Channel Definition Table (CCDT) with XA connections is not supported.
"Crash happened due to ""PI50993:Apache HTTPComponents vulnerabilities in WebSphere Application Server (CVE-2012-6153, CVE-2014-3577)"" 

Details of gpf crash events: A VerifyError was thrown due to ""Inaccessible class"" at offset 39(0x27) of the method executeInternal(Lorg/springframework/http/HttpHeaders;[B)Lorg/springfram ework/http/client/ClientHttpResponse of the above class org/springframework/http/client/HttpComponentsClientHttpRequest.

Looking at method the bytecodes :

31 invokespecial 15 org/apache/http/entity/ByteArrayEntity.([B)V 34 astore 4 36 aload3 37 aload 4 39 invokeinterface2 41 invokeinterface 16 org/apache/http/HttpEntityEnclosingRequest.setEntity(Lorg/apache/http/Ht tpEntity;)V

The above sequence of bytecodes indicates it created an instance of org/apache/http/entity/ByteArrayEntity, trying to cast it to type Lorg/apache/http/HttpEntity; which in turns led to the ""Inaccessible class"" VerifyError message.

It is clear that class org/apache/http/HttpEntity was not loaded at all:

    allclasses | grep org/apache/http/HttpEntity
","There would be NoClassDefFoundError observed after applying the fix because the API in HTTPCore and HTTPClient libraries are no long visible to application. To resolve this error, application may need to be updated with HTTPCore and HTTPClient libraries bundled."
Whether IBM Case Manager is using Apache Struts? Whether IBM Case Manager is using Apache Struts?,IBM Content Navigator is not vulnerable to the Apache Struts 2.x Vulnerability.
Is Java 8 supported for EJBDeploy on WebSphere Application Server 8.5.5.9 or later? Is Java 8 supported for EJBDeploy on WebSphere Application Server 8.5.5.9 or later?,"Please note that in WebSphere Application Server 8.5.5.x and below, the tool can only deploy Java EE applications compiled with a JDK level of 7 or below. To deploy JDK 8 compiled web applications, please upgrade to WebSphere Application Server V9."
Application code is overriding session timeout in WebSphere Application Server 7.0 How to check if application code is overriding session timeout? Is there a WebSphere trace that will show this information? ,The first step in solving a problem with your HTTPSession in Application Server is to reproduce the problem with session tracing enabled. Adding debug code to the application simplifies the task of identifying the problem.
Help with Security Bulletin: Integration server HTTP listener exposes stack trace in WMB & IIB (CVE-2016-2961) I need to understand details regarding Security Bulletin: Integration server HTTP listener exposes stack trace in WebSphere Message Broker and IBM Integration Bus. Where can I find this information? ,"CVEID: CVE-2016-2961 [http://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2016-2961]
DESCRIPTION: IBM Integration Bus uses the Apache Tomcat server for serving HTTP requests for the HTTPInput and SOAPInput nodes. A vulnerability exists where an unauthenticated, remote attacker can send a malformed HTTP POST request to the integration server HTTP listener. The attacker could use the information in the Java stack trace to identify the version of Apache Tomcat in use.
CVSS Base Score: 5.3
CVSS Temporal Score: See https://exchange.xforce.ibmcloud.com/vulnerabilities/113806 [https://exchange.xforce.ibmcloud.com/vulnerabilities/113806] for the current score
CVSS Environmental Score*: Undefined
CVSS Vector: (CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:U/C:L/I:N/A:N)"
MQSeries Events correlation How are MQSeries Events cleared? ,"The MQSeries Events workspace displays data from the Current Events attribute group. Since this data is stored in memory, stopping and restarting the MQ Monitoring agent will clear all the data in the Current Events table."
Help with Security Bulletin: Security vulnerabilities have been identified in IBM DB2 shipped with WebSphere Remote Server (CVE-2014-8730) I need to understand details regarding Security Bulletin: Security vulnerabilities have been identified in IBM DB2 shipped with WebSphere Remote Server (CVE-2014-8730). Where can I find this information? ,"For vulnerability details, see the security bulletin TLS padding vulnerability affects IBM DB2 LUW (CVE-2014-8730)"
Does StoredIQ support TLS v1.2? Does StoredIQ support TLS v1.2? ,"Yes, StoredIQ 7.6.0.5 and above support TLS 1.2. TLS 1.2 is supported both on Application Stack and Dataserver"
"Can not create a portal wcm syndicator-subscriber pair. The ""Subscribe Now"" window pops up but is blank or corrupted. Why? Can not create a portal wcm syndicator-subscriber pair. The ""Subscribe Now"" window pops up but is blank or corrupted.","1. Make sure that the page on which the WCM authoring portlet is installed uses a theme with client-side rendering such as the Page Builder theme.

2. Deploy the hidden Portal page on which the reserved authoring portlet is installed. 


3. Run the following task from the wp_profile_root / Config Engine directory."
"ILMT agent doesn`t show the hostname on inventory hardware Hello community: I have a problem with a host. I installed ILMT agent and i exec all the task (install scan,initiate scan,run capacity and upload results....) after that i not see the hostname at the ILMT webpage, i only recognized the host by the System ID. The Hypervisor is KVM. I do this tasks with many other host like that and i not found problems.I attached an image.

Can you help me to manage this issue?

Thank you and Best regards.","1) Ensure that the import is not running and stop the BFI/SUA/LMT server.
2) To reset the sequence for all data sources and import all data, run the following query on the BFI/SUA/LMT database:

DB2:
UPDATE dbo.DATASOURCE_SEQUENCES set LAST_SEQUENCE = blob(x'0000000000000000');

MSSQL:
UPDATE dbo.datasource_sequences set last_sequence = 0x0000000000000000;

3) Start the BFI/SUA/LMT. 
4) Run an import."
"ITCAM J2EE configuration problem with Tomcat as a Windows Service I want to configure ITCAM for J2EE 7.1.1.0.0 agent to monitor Tomcat 7.0 to be started as a service on Windows 2008 R2 64-bits.

Configuration fails with the following error message:

2016-05-06 20:31:37.723+08:00
com.ibm.tivoli.itcam.install.j2ee.custompanel.ConfigProcessSectionPanel getActionErrorText [DEBUG_MIN]
Exit, return value = J2_EC_CONFIG_FAILED:Configuration failed.
The server is: ""Tomcat Application Server""
The instance is: ""myTomcat""
The trace log file is under the directory:
""C:\tivoli\ITM\TMAITM6\j2eedc\7.1.1.0.0\installer\logs""

Why is this failing?",There is an option to specify the Tomcat Windows Service during GUI configuration of the ITCAM J2EE 7.1.1 agent/DC. This option does not work and will result in a failed configuration.
Why is the StoredIQ Dataserver login page not coming up in the browser? Why is the StoredIQ Dataserver login page not coming up in the browser? ,"This is caused by missing or incorrect hostname in the /etc/hosts file. When you restart the apache service, you will see an error message - cannot reliably
determine the fully qualified sever domain name"
"I am trying to install Portal 8.5 on Windows and getting error, CRIMA1217E in the IIM logs While trying to install Portal 8.5 using IIM it fails and the following is in the IIM logs...

     549 ERROR CRIMA1217E 01:01:00.16 A problem occurred during the
     execution of the
     C:\IBM\WebSphere\PortalServer\installer\wp.config\wizard\repository\repo
     sitory_actions.xml file.
           ERROR: Error executing the work flow.  Step 'Basic
     Config' FAILED!.  Check the logs for additional error messages.
     [C:\IBM\WebSphere\PortalServer\installer\wp.config\wizard\repository\rep
     ository_actions.xml:622]
         A package has an issue that cannot be resolved by
     Installation Manager.
         Identify the package that has the issue by looking at
     the installation history. In Installation Manager, click File >
     Installation History. In console mode, enter S: View Installation
     History. Contact IBM customer support.
     
     550 ERROR  01:01:00.16 Creating WebSphere Portal Profile.  This
     will take several minutes.
",Stop all WebSphere processes on the machine and attempt to install the second Portal instance again
"IBM SPSS Statistics 25.0.0.1 MacOS 10.13 High Sierra. Will  the german IBM SPSS statistics 25.0.0.1 on MAC be compatible with MAC OS High Sierra (10.13)?
","Support for IBM SPSS Statistics 25 only. Please note that no other SPSS release will be officially supported on High Sierra, but older versions like SPSS Statistics 24 may run as well on High Sierra."
"How to resolve coach service timeout or expired issue? Customer has followed http://www-01.ibm.com/support/docview.wss?uid=swg21633251 and http://www-01.ibm.com/support/docview.wss?uid=swg21601357 to set up long time session but customer still got error message: ""The service you are trying to run has expired."" only when the user keep a coach session idle that over 30 minutes.  How to resolve this issue? ","Check Override in the Override Session Management section, then select to set the time-out and the time-out value. This sets the application session to overwrite those values set at the parent, which in this case is the Server level."
How can I get detailed JazzSM PAGE and Widget release information. How can I get detailed JazzSM PAGE and Widget release information.,"There are two options, display information about the Page and defined widgets and wires on the page, or show information about just the widgets."
